metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1664024998,0.000000,,,,,,,,,,,,,,,
vus_max,1664024998,12.000000,,,,,,,,,,,,,,,
vus,1664024999,0.000000,,,,,,,,,,,,,,,
vus_max,1664024999,12.000000,,,,,,,,,,,,,,,
vus,1664025000,0.000000,,,,,,,,,,,,,,,
vus_max,1664025000,12.000000,,,,,,,,,,,,,,,
vus,1664025001,0.000000,,,,,,,,,,,,,,,
vus_max,1664025001,12.000000,,,,,,,,,,,,,,,
vus,1664025002,0.000000,,,,,,,,,,,,,,,
vus_max,1664025002,12.000000,,,,,,,,,,,,,,,
vus,1664025003,0.000000,,,,,,,,,,,,,,,
vus_max,1664025003,12.000000,,,,,,,,,,,,,,,
vus,1664025004,0.000000,,,,,,,,,,,,,,,
vus_max,1664025004,12.000000,,,,,,,,,,,,,,,
vus,1664025005,0.000000,,,,,,,,,,,,,,,
vus_max,1664025005,12.000000,,,,,,,,,,,,,,,
vus,1664025006,0.000000,,,,,,,,,,,,,,,
vus_max,1664025006,12.000000,,,,,,,,,,,,,,,
vus,1664025007,0.000000,,,,,,,,,,,,,,,
vus_max,1664025007,12.000000,,,,,,,,,,,,,,,
vus,1664025008,0.000000,,,,,,,,,,,,,,,
vus_max,1664025008,12.000000,,,,,,,,,,,,,,,
vus,1664025009,0.000000,,,,,,,,,,,,,,,
vus_max,1664025009,12.000000,,,,,,,,,,,,,,,
vus,1664025010,0.000000,,,,,,,,,,,,,,,
vus_max,1664025010,12.000000,,,,,,,,,,,,,,,
vus,1664025011,0.000000,,,,,,,,,,,,,,,
vus_max,1664025011,12.000000,,,,,,,,,,,,,,,
vus,1664025012,0.000000,,,,,,,,,,,,,,,
vus_max,1664025012,12.000000,,,,,,,,,,,,,,,
vus,1664025013,0.000000,,,,,,,,,,,,,,,
vus_max,1664025013,12.000000,,,,,,,,,,,,,,,
vus,1664025014,0.000000,,,,,,,,,,,,,,,
vus_max,1664025014,12.000000,,,,,,,,,,,,,,,
vus,1664025015,0.000000,,,,,,,,,,,,,,,
vus_max,1664025015,12.000000,,,,,,,,,,,,,,,
vus,1664025016,0.000000,,,,,,,,,,,,,,,
vus_max,1664025016,12.000000,,,,,,,,,,,,,,,
vus,1664025017,0.000000,,,,,,,,,,,,,,,
vus_max,1664025017,12.000000,,,,,,,,,,,,,,,
vus,1664025018,0.000000,,,,,,,,,,,,,,,
vus_max,1664025018,12.000000,,,,,,,,,,,,,,,
vus,1664025019,0.000000,,,,,,,,,,,,,,,
vus_max,1664025019,12.000000,,,,,,,,,,,,,,,
vus,1664025020,0.000000,,,,,,,,,,,,,,,
vus_max,1664025020,12.000000,,,,,,,,,,,,,,,
vus,1664025021,0.000000,,,,,,,,,,,,,,,
vus_max,1664025021,12.000000,,,,,,,,,,,,,,,
vus,1664025022,0.000000,,,,,,,,,,,,,,,
vus_max,1664025022,12.000000,,,,,,,,,,,,,,,
